详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
479,沐楠,https://www.gzbrain.cn/myzj/info_itemid_479.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523113110225.png?5rKQ5qWgLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/沐楠-老年精神科-主任医师-广州医科大学附属脑科医院.png,png,png,80261,27366ee1dab66b1214e8a5ccad3bf6907f4108e66bc5be237c6fb597d414c8a1,199,296,FULL_FETCH,
107560,詹丽璇,https://www.gzbrain.cn/myzj/info_itemid_107560.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2025/09/20250918150452351.jpg?6Km55Li955KHKDEpLmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/詹丽璇-神经内科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,1709875,8891eea8597d36c149fbe3e8d75b14e44047b5c4344c85c36f49947c302dac8a,4480,6720,FULL_FETCH,
33179,韩为,https://www.gzbrain.cn/myzj/info_itemid_33179.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2021/12/20211210165629193.jpg?5Ymv5pysMS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/韩为-中医科-主任中医师-广州医科大学附属脑科医院.jpg,jpg,jpg,283324,5ee970aacf8f33c828cc89840500e6733a584fa2e395ac818adc42fb4c1849ee,600,900,TRIAL_REUSE,
48466,李则挚,https://www.gzbrain.cn/myzj/info_itemid_48466.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2022/08/20220801100016685.jpg?YjBjYTU3OTk1NThkOGMyY2EzOWJhMzFjMjUxMTgyMjJfLmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/李则挚-成人精神科-副主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,128402,f97ed505a462d5438471d067fec913cdf9b34f0a225761df88a25e76be562bb2,1280,1862,FULL_FETCH,
750,彭红军,https://www.gzbrain.cn/myzj/info_itemid_750.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190520085649550.jpg?5b2t57qi5YabLeiTneW6lS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/彭红军-临床心理科-主任医师-广州医科大学附属脑科医院.png,jpg,png,75830,72091603426d1b06040bce3653d5b2d25ed9409b7ee96cb36b4a0a84a6509483,201,294,FULL_FETCH,
7053,范妮,https://www.gzbrain.cn/myzj/info_itemid_7053.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/04/20190422121204857.jpg?6IyD5aauLmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/范妮-成瘾精神医学科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,57975,b04c6468e4f760d6cc15041eeabab99ce7689c609b65ab7f2a0e6f83bce3dd1a,358,496,FULL_FETCH,
5310,钟笑梅,https://www.gzbrain.cn/myzj/info_itemid_5310.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523150501793.png?6ZKf56yR5qKFLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/钟笑梅-记忆门诊-副主任医师-广州医科大学附属脑科医院.png,png,png,105657,a63eb8e019eafd856862895d0ea52969d869b16a87ce9e669542ce20f729ffdf,201,294,FULL_FETCH,
76800,艾思志,https://www.gzbrain.cn/myzj/info_itemid_76800.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2024/01/20240131101214794.jpg?6Im+5oCd5b+XLmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/艾思志-睡眠与节律医学中心-教授-广州医科大学附属脑科医院.jpg,jpg,jpg,10097,9a3a41cff83c5037a4e7c9084379de4b9ad4e93227106f2eb78804b670ef8b06,233,351,FULL_FETCH,
739,蒋泽宇,https://www.gzbrain.cn/myzj/info_itemid_739.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523111933454.png?6JKL5rO95a6HLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/蒋泽宇-情感障碍科-主任医师-广州医科大学附属脑科医院.png,png,png,81938,dea47cf6b9aea66a13c3c5b4154dc66841e45817a591bb7ff8ec10f28f6eb425,201,308,FULL_FETCH,
776,阳琼,https://www.gzbrain.cn/myzj/info_itemid_776.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190520101246576.jpg?6Ziz55C8LeiTneW6lS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/阳琼-情感障碍科-主任医师-广州医科大学附属脑科医院.png,jpg,png,112584,1c4927eca4779b04a339f2f80e170f57db03ae2fc0bf542b4ccd1bdeb254b12e,201,319,FULL_FETCH,
535,谭燕,https://www.gzbrain.cn/myzj/info_itemid_535.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523114056036.png?6LCt54eVLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/谭燕-神经内科-主任医师-广州医科大学附属脑科医院.png,png,png,108891,3ee9db8f22fe75c4c9544c322af6e0d0fb2a5983ff57a60f09d6cc8cd2946229,200,300,FULL_FETCH,
533,郑东,https://www.gzbrain.cn/myzj/info_itemid_533.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523115923478.png?6YOR5LicLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/郑东-神经康复科-主任医师-广州医科大学附属脑科医院.png,png,png,75496,720266689d21c2b8463bce2828b6a4effcadbc05cff6a91d0ca26b14f34c4d0f,199,270,FULL_FETCH,
742,秦明筠,https://www.gzbrain.cn/myzj/info_itemid_742.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190520090012680.jpg?56em5piO562gLeiTneW6lS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/秦明筠-神经外科-主任医师-广州医科大学附属脑科医院.png,jpg,png,79235,c124c260d7a70c29e23fe046151ed1fdca578653afc247618b40dddfa20fe956,205,289,FULL_FETCH,
530,施海姗,https://www.gzbrain.cn/myzj/info_itemid_530.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523113623146.png?5pa95rW35aeXLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/施海姗-神经内科-主任医师-广州医科大学附属脑科医院.png,png,png,86235,e4dd0dc3bdbf67752675a823319a88cdc05254eb1d254f43af46ed4789eb7bdb,203,303,FULL_FETCH,
76801,刘亚平,https://www.gzbrain.cn/myzj/info_itemid_76801.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2024/01/20240131101529454.png?5YiY5Lqa5bmzLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/刘亚平-睡眠与节律医学中心-教授-广州医科大学附属脑科医院.png,png,png,2342007,33d23bdae4cb7dd11c095d9468d15b17af0d22487ed62c2123a6987dd6bd675f,1340,1664,FULL_FETCH,
745,蔡骏逸,https://www.gzbrain.cn/myzj/info_itemid_745.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190520085909470.png?6JSh6aqP6YC4LnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/蔡骏逸-中医科-主治医师-广州医科大学附属脑科医院.png,png,png,90641,8996d0089e97332b019ea316a1c3c5b2ee50307d88a9f72c218e7294af1b8033,201,300,FULL_FETCH,
497,蔡颖莲,https://www.gzbrain.cn/myzj/info_itemid_497.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523105056332.png?6JSh6aKW6I6yLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/蔡颖莲-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,78460,9a7303e41d0244fe9e6fd2397daefbca6298bf724f55449ed6b08295d3a90793,195,254,FULL_FETCH,
536,郭彩凤,https://www.gzbrain.cn/myzj/info_itemid_536.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523105913923.png?6YOt5b2p5YekLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/郭彩凤-神经内科-主治医师-广州医科大学附属脑科医院.png,png,png,82593,a142228e4ab82b9c4f1d39e114c728b03d3e9eefd0036a8ec10cbcd955475fd9,201,318,FULL_FETCH,
841,胡文生,https://www.gzbrain.cn/myzj/info_itemid_841.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523111238384.png?6IOh5paH55SfLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/胡文生-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,87264,f290336e6f716cba2c6ce82ecb9f0fd90d8ad6d1357945a9ef29f9608ac10d2b,203,272,FULL_FETCH,
748,黄鹏,https://www.gzbrain.cn/myzj/info_itemid_748.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2022/11/20221122105006373.jpg?MjYzN2ZkOWFlMGJiNTIzZTJiOTIyNjBiNzk4ZWQwNS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/黄鹏-物质依赖科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,498529,c179ea4fe3cdb24f73cbbc5baf1cb474b46481bead0090f423ac28e463902857,1308,1744,FULL_FETCH,
27610,谭红愉,https://www.gzbrain.cn/myzj/info_itemid_27610.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2021/07/20210702111122200.png?6LCt57qi5oSJLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/谭红愉-神经内科-副主任医师-广州医科大学附属脑科医院.png,png,png,84420,323182e96e542d2ffc6f507d07e7d4577d44ed5531e0d80381cf9b3693dcb023,198,259,FULL_FETCH,
573,李含秋,https://www.gzbrain.cn/myzj/info_itemid_573.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523104401831.png?5p2O5ZCr56eLLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/李含秋-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,71192,d2fdee1739272b2389a9993640ed087c9d8ab9df038d7b59d7a7d7810d1745fa,202,269,FULL_FETCH,
746,李烜,https://www.gzbrain.cn/myzj/info_itemid_746.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2025/03/20250318085044997.jpg?ODZmMDk2MDgwMTIyYTk4OTYyY2IxNmJhM2RjYzk0MTFfLmpwZw==,01_试点医院/广州医科大学附属脑科医院/照片/李烜-精神科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,881783,58120ca01495b330fdc5be25df7a16d16599bd8abf44df1d93186a6dc89e484d,4480,6720,FULL_FETCH,
749,刘玉平,https://www.gzbrain.cn/myzj/info_itemid_749.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190520085720160.png?5YiY546J5bmzLeiTneW6lS5wbmc=,01_试点医院/广州医科大学附属脑科医院/照片/刘玉平-物质依赖科-主任医师-广州医科大学附属脑科医院.png,png,png,116848,da7bae57f91c6ebdb94d99ccff2ed934bf6fe84e4dd04c6f17aa5ef4de190f25,204,299,FULL_FETCH,
95,彭建玲,https://www.gzbrain.cn/myzj/info_itemid_95.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190516085013142.png?5b2t5bu6546yLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/彭建玲-临床心理科-副主任医师-广州医科大学附属脑科医院.png,png,png,169887,9b748c2ac2d3ffa832cb62af39629b70fa0cb875d717e9b6cfb952f3c60b351e,297,400,FULL_FETCH,
40032,王阳顺,https://www.gzbrain.cn/myzj/info_itemid_40032.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2022/03/20220309152215677.jpg?MS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/王阳顺-重症医学科-副主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,18301,a51766c6b84af178b604a0e5649cd7df612dc1cdfc03e8f384023f3ac5b2d91b,321,466,FULL_FETCH,
468,童梓顺,https://www.gzbrain.cn/myzj/info_itemid_468.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523114427916.png?56ul5qKT6aG6LnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/童梓顺-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,78405,641e1c0a90f84ad0411272c16f9cefbb2dcaea7f19e7b620ea61def271ec292b,203,270,FULL_FETCH,
549,王玲芝,https://www.gzbrain.cn/myzj/info_itemid_549.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2020/02/20200211085041229.jpg?546L546y6IqdLkpQRw==,01_试点医院/广州医科大学附属脑科医院/照片/王玲芝-康复科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,42424,3ba268f52fa6caa40861b130bff869b7a1324d2a1ced09c704250d7a953d119d,551,782,FULL_FETCH,
586,吴福喜,https://www.gzbrain.cn/myzj/info_itemid_586.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190523114852027.png?5ZC056aP5ZacLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/吴福喜-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,72254,44938303007b053eae7515c28b8c5f2b6b8036c85667eaac861201c80233d6a3,201,253,FULL_FETCH,
5375,赵素华,https://www.gzbrain.cn/myzj/info_itemid_5375.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190508090502371.png?6LW157Sg5Y2OLnBuZw==,01_试点医院/广州医科大学附属脑科医院/照片/赵素华-精神科-主任医师-广州医科大学附属脑科医院.png,png,png,170650,693161027d0129e75748ce00f98df75df95e173fd65edaf0e82e0940876aac39,260,350,FULL_FETCH,
30646,佘生林,https://www.gzbrain.cn/myzj/info_itemid_30646.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2020/04/20200402114518979.jpg?OWU2OGNiMjViOTAwNzg2ODRhMTllYzhiYjc2ZmIzYy5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/佘生林-精神科-主任医师-广州医科大学附属脑科医院.jpg,jpg,jpg,28643,cabca3ede260940f355744e1cc8cbedf3a4b1853637f8494a8c2e1df937d2dc5,533,800,FULL_FETCH,
940,郭旭东,https://www.gzbrain.cn/myzj/info_itemid_940.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190521085901471.jpg?6YOt5pet5LicLeiTneW6lS5qcGc=,01_试点医院/广州医科大学附属脑科医院/照片/郭旭东-神经外科-副主任医师-广州医科大学附属脑科医院.png,jpg,png,73574,97a662a40526b9d23d1fa4174d201364a9c37a208628d4784160dc7ebcc92893,202,311,FULL_FETCH,
939,张训,https://www.gzbrain.cn/myzj/info_itemid_939.html,实采,,1,https://www.gzbrain.cn/uploadfiles/2019/05/20190524160312465.png?5byg6K6tLeiTneW6lS5wbmc=,01_试点医院/广州医科大学附属脑科医院/照片/张训-神经外科-主任医师-广州医科大学附属脑科医院.png,png,png,93526,0a48b6b01ab1a756d2c7f01dccc88d9e9d9f05da417b5a549e721b3b4c05be40,190,302,FULL_FETCH,
