姓名,来源链接,状态,失败分类,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
孙玉冰,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=551,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015616725_s.jpg,01_试点医院/广东省第二中医院/照片/孙玉冰-内科-主任中医师-广东省第二中医院.png,png,26873,8843c401cfddb3525bc442d905be11d00f871048f6e503821cc9241ba2ee415e,120,160,FULL_FETCH,
李桂明,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=553,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015433625_s.jpg,01_试点医院/广东省第二中医院/照片/李桂明-内科-主任中医师-广东省第二中医院.png,png,27024,2524d60b5eab75419992cba83340c90b7583f500de636e54c82aa2e60f1a6187,120,160,FULL_FETCH,
杨晓文,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=555,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015243609_s.jpg,01_试点医院/广东省第二中医院/照片/杨晓文-内科-主任中医师-广东省第二中医院.png,png,29241,1f8638d68b314c7f410d568f6b8c256748b6906bc60db78fcfaa4d9bc9b8b911,120,160,FULL_FETCH,
许杰红,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=552,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015512915_s.jpg,01_试点医院/广东省第二中医院/照片/许杰红-内科-副主任中医师-广东省第二中医院.png,png,24621,1c0651b3a6d3eb0faf5e4485639982f9eca88a4f21ad3f298034c6b0a42fefc2,120,160,FULL_FETCH,
谢建军,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=550,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015653472_s.jpg,01_试点医院/广东省第二中医院/照片/谢建军-内科-主任中医师-广东省第二中医院.png,png,29469,c42087aedbf6ec9a41d5567181fcc02f2c4f4655e08b338a5c7fb564b8e9994c,120,160,FULL_FETCH,
金小洣,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=560,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424014659141_s.jpg,01_试点医院/广东省第二中医院/照片/金小洣-内科-主治中医师-广东省第二中医院.png,png,40801,7ae6ef74d57377d5830450e66ec1e4768c77a5a13ace6641a8a8c95aa9bcb0ea,116,160,FULL_FETCH,
陈永光,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=548,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015838760_s.jpg,01_试点医院/广东省第二中医院/照片/陈永光-内科-主任中医师-广东省第二中医院.png,png,29847,c787437a99d4634b43a0bd357731468edb4dc775deb6a751af14c61976010ed9,120,160,FULL_FETCH,
袁琳,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=558,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015109612_s.jpg,01_试点医院/广东省第二中医院/照片/袁琳-内科-主治中医师-广东省第二中医院.png,png,54613,7185260926ace1168c15e434c487de6174c8412742c6aebc734346c7f8fb828f,137,160,FULL_FETCH,
黄琳,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=1151&typeid=1149&cid=1151&ksid=1149&id=549,实采,,https://www.gdzy5413.com/UploadFiles/image/2014-4/20140424015741990_s.jpg,01_试点医院/广东省第二中医院/照片/黄琳-内科-主任中医师-广东省第二中医院.png,png,39600,267976d1e776810172b8c3dad50b1c7c63a91654315486aeb4ed0c04b2cee73c,106,160,FULL_FETCH,
冯宁娜,https://www.gdzy5413.com/main/ks/templet2/ksdoctorinfo.aspx?bid=929&typeid=134&cid=929&ksid=134&id=443,失败,无照片容器,,,,,,,,FULL_FETCH,"{""detail_http"":200,""detection_feature"":""ksdoctorinfo 本人照片容器存在，但 src/background 为空或仅为 /UploadFiles/image/"",""excluded_resources"":[{""reason"":""照片引用为空目录且无文件名"",""url"":""https://www.gdzy5413.com/UploadFiles/image/""}],""observed_utc"":""2026-08-18T18:09:19Z"",""photo_reference_count"":0,""resource_urls"":[""https://www.gdzy5413.com/UploadFiles/image/""],""template_signature"":""资料卡 div[style*='width: 120px'] > img[width='120px'][height='155px']""}"
