姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
李宁,https://www.sysucc.org.cn/node/3748,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/lining-rxk-202303.jpg?itok=24uEQEPl,01_试点医院/中山大学肿瘤防治中心/照片/李宁-乳腺科-副主任医师-中山大学肿瘤防治中心.jpg,173739,fe442a78717b021de37a170ab19555b9020f0c3af41d9c9068dff3e7447926e9,400,600,
李星,https://www.sysucc.org.cn/node/3749,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-12/%E6%9D%8E%E6%98%9FV1.png?itok=krHQoBuN,01_试点医院/中山大学肿瘤防治中心/照片/李星-乳腺科-副主任医师-中山大学肿瘤防治中心.png,163292,67872b9df29e20d40f4ed9eb3d19730f073a55d7c8186f181cfa9faefc313e9d,400,600,
杨安力,https://www.sysucc.org.cn/node/3747,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/yanganli-rxk-202303_0.jpg?itok=yeOTr7AE,01_试点医院/中山大学肿瘤防治中心/照片/杨安力-乳腺科-副主任医师-中山大学肿瘤防治中心.jpg,183418,97cead01ba5bcaa778df23f2bfced35fc24fbdd8d813ddd2a3e0f153b3acb996,400,600,
梁格豪,https://www.sysucc.org.cn/node/9759,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2025-04/%E6%A2%81%E6%A0%BC%E8%B1%AA.jpg?itok=_tNtPSmN,01_试点医院/中山大学肿瘤防治中心/照片/梁格豪-乳腺科-副主任医师-中山大学肿瘤防治中心.jpg,107785,22521aee92de0f3a9a8c20c2bbe4bf828dc2f229e267fb4bfe67ec0c2f349041,400,600,
熊震充,https://www.sysucc.org.cn/node/8487,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2025-06/%E7%86%8A%E9%9C%87%E5%85%85.jpg?itok=LTMyyHbV,01_试点医院/中山大学肿瘤防治中心/照片/熊震充-乳腺科-副主任医师-中山大学肿瘤防治中心.jpg,127040,a73822bfc705e31533047288b21ed89b04d23a0469fdc44ed023bbd2ec2d298b,400,600,
王曦,https://www.sysucc.org.cn/node/3737,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/wangxi-rxk-202303.jpg?itok=ZGIh1zWO,01_试点医院/中山大学肿瘤防治中心/照片/王曦-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,172196,52b37cde74666375bcdf08bf0626db149dd00573abedff077abf9646eb7975ca,400,600,
王瑾,https://www.sysucc.org.cn/node/3743,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/wangjin-rxk-202303.jpg?itok=a-tIMk_T,01_试点医院/中山大学肿瘤防治中心/照片/王瑾-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,222964,8288e4ffa1c79f7fd52d802a6b7f8778d116f2e04db315f7f8ed4086849de0bc,400,600,
谢小明,https://www.sysucc.org.cn/node/3736,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/xiexiaoming-rxk-202303.jpg?itok=YPkVQMPP,01_试点医院/中山大学肿瘤防治中心/照片/谢小明-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,202100,024321267a47d672d9034ef75f191942a188d7b271ff8428b4a64033d00f6c58,400,600,
谢新华,https://www.sysucc.org.cn/node/3744,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/xiexinhua-rxk-202303.jpg?itok=pOMnK3kl,01_试点医院/中山大学肿瘤防治中心/照片/谢新华-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,185311,12406400adcc5a0199bd7f4ffcfca4526f6de21bd820c9bc80543acd02af3600,400,600,
韦尉东,https://www.sysucc.org.cn/node/3740,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/import_images/UploadFiles/expert/prouct_2014_6_27_NXMVXWBC.jpg?itok=f9oZyd1v,01_试点医院/中山大学肿瘤防治中心/照片/韦尉东-乳腺科-主任医师-中山大学肿瘤防治中心.jpg,122847,59fab8e6489b06869763e81202706d72023d0299623a41d64bfe6a97f3f5a072,400,600,
