row_number,sequence,hospital,name,source_link,column,removed_length,original_sha256,remaining_sha256,profile_path,profile_replacements,profile_before_sha256,profile_after_sha256
1115,1114,中山大学肿瘤防治中心,区伟,https://www.sysucc.org.cn/node/3623,详情正文摘录,41,6a910f5255ff77c905c683c16e017a4fbabef0918d5de89f0609fcff6b77eea5,eb9a4dffea53de607557b88ce84781e13f701d7a3ac42088c128690bdd9cd89b,,0,,
1116,1115,中山大学肿瘤防治中心,张兰军,https://www.sysucc.org.cn/node/7371,详情正文摘录,42,b9b07cdb1579c90146d4b195e96d030fbd9c886a27edb32ad1032dbe05f61cd5,46e22c904f5a4eea9bd493e13a2f3778bb5b022b34af55e63977abe66d8710a8,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张兰军.md,1,442b0fbb910181bc127d9938b0ecada0c42c3db0d1a92c4b9c2ae625ad827548,ef01ca152d1d36ac89f865f370303027e6057c45cb6a6a8f44526376feeae241
1117,1116,中山大学肿瘤防治中心,张旭,https://www.sysucc.org.cn/node/3618,详情正文摘录,41,b38c5418458d33d02eca1b966d3daa922deb85a7bb5b3225a4d622c97f035eb7,892a72e3f41924db26457867a2d9b66f2ae3a5f0d30888f8526bca498ec14f04,,0,,
1118,1117,中山大学肿瘤防治中心,戎铁华,https://www.sysucc.org.cn/node/4663,详情正文摘录,42,822363526d3169526a35f68d48abcb0509f8b267fed2fc461c6e5e8cf8d4d2cb,9d4ac22cdf016fbc246cc075804f241cbf2f7bea34fd2aacc0c4367bc1156390,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/戎铁华.md,1,2a003fdbd7f1bc8427f3614954ff865d29a410da8dceb2fe8094fa43f56c0dc2,58e4dc20c992dfc0038f2df213943bab5fd5a1e25dd62ca29e6956debe606a50
1120,1119,中山大学肿瘤防治中心,李小东,https://www.sysucc.org.cn/node/3622,详情正文摘录,42,cca2308a453e85be1caad11ea12471e7b23241f9c6d9d61f0c6e60b61d41a176,2f2d1f0adf32ff022ec0a16316b5b4eedfa6ae6ea329966109b9e27e83a5ea45,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李小东.md,1,569bf95d79a01637596153e2b5fcf220725121c9a92e26299162af141676d00b,9308efd829dfd5b7abb6a09302df869de1aede6f11b41c761df54840e11b3300
1121,1120,中山大学肿瘤防治中心,杨寒,https://www.sysucc.org.cn/node/6898,详情正文摘录,41,92a2cc3dbec22ddb608de75dea10d346da63edda74f4b20c391241e1e2cb09e4,d39e0390ea15af6474772bd2e685688e4d73c8b43bad34a908164856edd9ae94,,0,,
1122,1121,中山大学肿瘤防治中心,杨弘,https://www.sysucc.org.cn/node/3620,详情正文摘录,41,61725c3ba044d18ccb02faf72f0615c1741a6fccf359fdf73313df2455ec6b51,088dce2dc155f508a0d621cff77b7f3f6e02db47a1f9585bb230c01b0aca43c6,,0,,
1123,1122,中山大学肿瘤防治中心,杨浩贤 学位： 肿瘤学博士 行政职务： 胸科 主任,https://www.sysucc.org.cn/node/3612,详情正文摘录,42,7b43fa077a423d285b6cdc3e9b2bcecca255cccff1d41c51dead8651619803a6,8fe97cf75be0f9fd13fa2fa38798871702844f1a5b086a3b0d0d676afb11fe29,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/杨浩贤 学位： 肿瘤学博士 行政职务： 胸科 主任.md,1,89943cf5d7b29b5ae94af9509b95f38ab66255b4b4bca8172906a1dbe2a097e8,7cddc9476c865fa975e560f31fcd86400c3f76248845c9633e25bb364692863b
1124,1123,中山大学肿瘤防治中心,林勇斌,https://www.sysucc.org.cn/node/3625,详情正文摘录,42,9501cb155546dfcbf15495c8bab0b66c7ceedb400cea3ecd802874ccf4ad346b,d776c468fec0389c5ec46975d9050f3be9236114c1f7c37bf16078aa9e514f6f,,0,,
1125,1124,中山大学肿瘤防治中心,林鹏,https://www.sysucc.org.cn/node/3610,详情正文摘录,41,e7467c82feb96a7a59fe6423c419245f07a038dcb2399e3f664b80fa3f512d96,d6b4092c21268fb84684726b65dfe9e4242f36f38d0a93cb8a1e590ca0fe5eb2,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林鹏.md,1,7f5fd53d65027b9fdceade105757ff047b01774038ee2e952c67e1ea89a5393c,aa6667778608d8c60bf49d241bd27fad034ff396e8fa6e71d0870f417e343e7d
