姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
朱珺琳,https://www.gy3y.cn/ks/yjbm/csyx/doctor_195.html,实采,,https://www.gy3y.cn/Upload/201501/6355693399373832693749991.jpg,01_试点医院/广州医科大学附属第三医院/照片/朱珺琳-荔湾院区超声医学科-副主任医师-广州医科大学附属第三医院.jpg,50538,9a827c84108af83c0f8872fd869a7d6998cb5fc62f74e993b2c5cc5edf608973,FFD8FFE11453457869660000,200,266,Upload原图,
夏勇,https://www.gy3y.cn/ks/yjbm/jyk/doctor_196.html,实采,,https://www.gy3y.cn/Upload/202506/638847363671240893.jpg,01_试点医院/广州医科大学附属第三医院/照片/夏勇-荔湾院区检验科-主任技师-广州医科大学附属第三医院.jpg,26796,8ef925ec5cabb68dfda15087a3016ca4b99963b015bd2c3d25a692237e66d018,FFD8FFE109AB457869660000,200,266,Upload原图,
张伟雯,https://www.gy3y.cn/ks/yjbm/jyk/doctor_197.html,实采,,https://www.gy3y.cn/Upload/201411/6355138940460493551499750.jpg,01_试点医院/广州医科大学附属第三医院/照片/张伟雯-荔湾院区检验科-主任技师-广州医科大学附属第三医院.jpg,33574,3a6b19f97c662e7c6e5c893cea172177d422f6679ada9b5caa3a5ae8c937266c,FFD8FFE1139F457869660000,200,266,Upload原图,
张金山,https://www.gy3y.cn/ks/yjbm/hyxfszlk/doctor_198.html,实采,,https://www.gy3y.cn/Upload/202303/638151603347598194.jpg,01_试点医院/广州医科大学附属第三医院/照片/张金山-荔湾院区核医学科-主任医师-广州医科大学附属第三医院.jpg,27653,cd2dc72d0f4c81f242b5a449c963b5f162203f4278f03b71bb9b37374951ad11,FFD8FFE000104A4649460001,330,392,Upload原图,
邓咏梅,https://www.gy3y.cn/ks/yjbm/hyxfszlk/doctor_199.html,实采,,https://www.gy3y.cn/Upload/202303/638151606091666202.jpg,01_试点医院/广州医科大学附属第三医院/照片/邓咏梅-荔湾院区核医学科-副主任医师-广州医科大学附属第三医院.jpg,30506,65060f568fa9eb9aa8174aa6d82dab0bb81fd41505e17ffb72963f040245a75d,FFD8FFE000104A4649460001,363,417,Upload原图,
韩明生,https://www.gy3y.cn/ks/wgk/kqk/doctor_201.html,实采,,https://www.gy3y.cn/Upload/202506/638851663822877899.jpg,01_试点医院/广州医科大学附属第三医院/照片/韩明生-荔湾院区口腔科-副主任医师-广州医科大学附属第三医院.jpg,32244,aa7c6e2ff2a6e04eb567c054f4058742e5461783e542c8c9a7bf2806e9476ab4,FFD8FFE1132D457869660000,200,266,Upload原图,
宋亭,https://www.gy3y.cn/ks/yjbm/fsk/doctor_203.html,实采,,https://www.gy3y.cn/Upload/201411/6355138561547462505389538.jpg,01_试点医院/广州医科大学附属第三医院/照片/宋亭-荔湾院区放射科-主任医师-广州医科大学附属第三医院.jpg,31997,f341b7e1b957c5a2f6fc7a1e09f51a2d7daf33be66c2cfb6a3c2a1cd060cf635,FFD8FFE112C7457869660000,200,266,Upload原图,
董天发,https://www.gy3y.cn/ks/yjbm/fsk/doctor_205.html,实采,,https://www.gy3y.cn/Upload/201411/6355138815530840955343423.jpg,01_试点医院/广州医科大学附属第三医院/照片/董天发-荔湾院区放射科-副主任医师-广州医科大学附属第三医院.jpg,30768,52d8886154aa4dad157d182da4dc13399814dad5a36f17e2855a75f932550548,FFD8FFE11234457869660000,200,266,Upload原图,
李志钊,https://www.gy3y.cn/ks/yjbm/fsk/doctor_206.html,实采,,https://www.gy3y.cn/Upload/201411/6355138823427665418985149.jpg,01_试点医院/广州医科大学附属第三医院/照片/李志钊-荔湾院区放射科-副主任医师-广州医科大学附属第三医院.jpg,30522,90902cb311d32f8304b1904284b2e8c20c28d4040fee07ac9ae4eaf1a840d35d,FFD8FFE11200457869660000,200,266,Upload原图,
唐文艳,https://www.gy3y.cn/ks/yjbm/fsk/doctor_207.html,实采,,https://www.gy3y.cn/Upload/201411/6355138829277627977913069.jpg,01_试点医院/广州医科大学附属第三医院/照片/唐文艳-荔湾院区放射科-副主任医师-广州医科大学附属第三医院.jpg,35266,987e85c8b6fb075d907338cac437fd7a0da8ba4f31ce234a6349fba8ec53e88a,FFD8FFE114BE457869660000,200,266,Upload原图,
张家云,https://www.gy3y.cn/ks/yjbm/fsk/doctor_208.html,实采,,https://www.gy3y.cn/Upload/201411/6355138835486963233210203.jpg,01_试点医院/广州医科大学附属第三医院/照片/张家云-荔湾院区放射科-副主任医师-广州医科大学附属第三医院.jpg,34390,f68d65d11230ecb5652f8f7116a58988dc978794cd87e0dcb18309b9d13862b4,FFD8FFE11437457869660000,200,266,Upload原图,
严鹏科,https://www.gy3y.cn/ks/yjbm/lcyx/doctor_209.html,实采,,https://www.gy3y.cn/Upload/201412/6355380695135641276892964.jpg,01_试点医院/广州医科大学附属第三医院/照片/严鹏科-荔湾院区临床药学-主任药师-广州医科大学附属第三医院.jpg,34624,2193674514cd45f1a6734cb45b7fd2e77a6b7ca1ae267068a4a6c00a8b6394f4,FFD8FFE11456457869660000,200,266,Upload原图,
王寿平,https://www.gy3y.cn/ks/wkxt/mzk/doctor_210.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
孙筱放,https://www.gy3y.cn/ks/fckyjs/fys/doctor_211.html,失败,详情不可达,,,,,,,,,第 1 轮 HTTP 302→200@2026-08-17T11:32:40Z Content-Type text/plain；页面标题 404；第 2 轮 HTTP 302→200@2026-08-17T11:33:40Z Content-Type text/plain；页面标题 404；第 3 轮 HTTP 302→200@2026-08-17T11:34:40Z Content-Type text/plain；页面标题 404；第 4 轮 HTTP 302→200@2026-08-17T11:35:40Z Content-Type text/plain；页面标题 404；第 5 轮 HTTP 302→200@2026-08-17T11:36:40Z Content-Type text/plain；页面标题 404
谢毅娟,https://www.gy3y.cn/ks/nkxt/nfmk/doctor_213.html,实采,,https://www.gy3y.cn/Upload/201504/6356401445460709035666853.jpg,01_试点医院/广州医科大学附属第三医院/照片/谢毅娟-荔湾院区内分泌代谢科-副主任医师-广州医科大学附属第三医院.jpg,179539,2e48603df63da4172af03f34f190a6c91da324e292879dbe3da9ca1f6d09b743,FFD8FFE000104A4649460001,1428,1900,Upload原图,
谭小华,https://www.gy3y.cn/ks/ek/ek1/doctor_214.html,实采,,https://www.gy3y.cn/Upload/202301/638094858746625669.png,01_试点医院/广州医科大学附属第三医院/照片/谭小华-荔湾院区儿 科（普通儿科-副主任医师-广州医科大学附属第三医院.png,57831,e950f651ee6a8a5d24771ca76f8b1998041c7c2bd2b52b34bd7055234b99261a,89504E470D0A1A0A0000000D,200,266,Upload原图,
余琳,https://www.gy3y.cn/ks/fckyjs/ck/doctor_215.html,实采,,https://www.gy3y.cn/Upload/202302/638119657015268516.jpg,01_试点医院/广州医科大学附属第三医院/照片/余琳-荔湾院区产 科（广州重症孕产妇救治中心）-主任医师-广州医科大学附属第三医院.jpg,28574,709f6e2aa148df7a44ea5956929286f41d883c7868ade8a0c62d22b600fb7bf0,FFD8FFE10A36457869660000,200,266,Upload原图,
崔丽贞,https://www.gy3y.cn/ks/wgk/yk/doctor_216.html,实采,,https://www.gy3y.cn/Upload/201411/6355138364715159583497675.jpg,01_试点医院/广州医科大学附属第三医院/照片/崔丽贞-荔湾院区眼 科-副主任医师-广州医科大学附属第三医院.jpg,32197,5d6f9bc1e26e89e7947fd4c3b6f8908e256d2acf566efd0753488b36f114791b,FFD8FFE1130A457869660000,200,266,Upload原图,
刘玉冰,https://www.gy3y.cn/ks/fckyjs/ck/doctor_217.html,实采,,https://www.gy3y.cn/Upload/201508/6357498901800748172895067.jpg,01_试点医院/广州医科大学附属第三医院/照片/刘玉冰-荔湾院区产 科（广州重症孕产妇救治中心）-副主任医师-广州医科大学附属第三医院.jpg,35417,20f09eb59ae0de922792aaa1af48223e007546fb8e08a7c5415fafed4fec85e8,FFD8FFE11506457869660000,200,266,Upload原图,
蒋亚玲,https://www.gy3y.cn/ks/fckyjs/fckmz/doctor_219.html,实采,,https://www.gy3y.cn/Upload/202006/6372798378626749569277805.jpg,01_试点医院/广州医科大学附属第三医院/照片/蒋亚玲-荔湾院区妇产科门诊-主任医师-广州医科大学附属第三医院.jpg,237656,bf4e5e73368662e56ef98800c27325795947580789301a2fafd87a155964f2fc,FFD8FFE000104A4649460001,1417,1899,Upload原图,
