详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
4316,王晓华,https://www.gdskin.com/ShowNews.ASPX?ID=4316,实采,,1,https://www.gdskin.com/uploadimg/王晓华.jpg,01_试点医院/南方医科大学皮肤病医院/照片/王晓华-皮肤内科-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,653458,41ee8a434cc3c64de618f6f40379d6f2a0bfbb70e5393651e715a18f4f070f68,800,1200,FULL_FETCH,
7051,王芳,https://www.gdskin.com/ShowNews.ASPX?ID=7051,失败留空,无照片容器,0,,,,,,,,,FULL_FETCH,"{""detection_feature"":""HTTP 200 detail contains no same-site /uploadimg/ img reference; WebResource and filing/site decoration images remain excluded"",""excluded_resource_examples"":[{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""../uploadpicture/王芳20250226.jpg""},{""feature"":""not a same-site /uploadimg/ page reference"",""reason"":""站架或装饰图排除"",""url"":""images/备案图标.png""}],""observed_utc"":""2026-08-19T12:58:03Z"",""photo_reference_count"":0,""resource_urls"":[""/WebResource.axd?d=i1jrqrQ5Kgeceqa-4r2Prip3erkO_WPURaIAym9bE6uJ1sr6AKQU-zo6EcPaa66hH789hLxp5yc2rXy2QGScC-lyZXSK9tlKQ3zYUcDzpi41&t=638259654740000000"",""../uploadpicture/王芳20250226.jpg"",""images/备案图标.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
5567,章星琪,https://www.gdskin.com/ShowNews.ASPX?ID=5567,失败留空,占位图,1,,,,,,,,,FULL_FETCH,"{""detection_feature"":""页面引用命中占位门禁：explicit_chinese_placeholder_filename"",""excluded_resource_examples"":[{""feature"":""raw_reference='../system_dntb/../uploadimg/占位.png'; marker=explicit_chinese_placeholder_filename"",""reason"":""占位图"",""url"":""https://www.gdskin.com/uploadimg/占位.png""}],""observed_utc"":""2026-08-19T12:58:06Z"",""photo_reference_count"":1,""resource_urls"":[""https://www.gdskin.com/uploadimg/占位.png""],""template_signature"":""unique body img src resolving under /uploadimg/""}"
5274,罗颖,https://www.gdskin.com/ShowNews.ASPX?ID=5274,实采,,1,https://www.gdskin.com/uploadimg/642罗颖.jpg,01_试点医院/南方医科大学皮肤病医院/照片/罗颖-皮肤内科-副主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,87985,1fbb7983f34a84ca2f52968ea4ab4589fe1ccecdd9c3ed0cc9d3875fbc5a5c5b,521,658,FULL_FETCH,
5001,薛汝增,https://www.gdskin.com/ShowNews.ASPX?ID=5001,实采,,1,https://www.gdskin.com/uploadimg/薛汝增.jpg,01_试点医院/南方医科大学皮肤病医院/照片/薛汝增-皮肤内科-副主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,487728,e87b6e96cdf5b8fd09f4f865dc694c59fa660fd1904c2d4b066b0c54abbf5a1a,800,1200,FULL_FETCH,
5572,袁立燕,https://www.gdskin.com/ShowNews.ASPX?ID=5572,实采,,1,https://www.gdskin.com/uploadimg/袁立燕.jpg,01_试点医院/南方医科大学皮肤病医院/照片/袁立燕-皮肤内科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,540049,c1ed5836a14e535fcb5b1eb5f43bd5448117059a3ab4ed368159e185d281f939,800,1200,FULL_FETCH,
5273,陈嵘祎,https://www.gdskin.com/ShowNews.ASPX?ID=5273,实采,,1,https://www.gdskin.com/uploadimg/陈嵘祎.jpg,01_试点医院/南方医科大学皮肤病医院/照片/陈嵘祎-皮肤内科-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,460043,b7d797b849d0ce5eafc36347f90b716a0744cccc3f30cb4176ee71b71d584c98,800,1200,FULL_FETCH,
3857,陈文静,https://www.gdskin.com/ShowNews.ASPX?ID=3857,实采,,1,https://www.gdskin.com/uploadimg/陈文静.jpg,01_试点医院/南方医科大学皮肤病医院/照片/陈文静-皮肤内科-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,591830,5c0aa205dbf9b59efea219d540efd5f7946e57f13504c3c0467e4fa91a29f59a,800,1133,FULL_FETCH,
5571,陈阳霞,https://www.gdskin.com/ShowNews.ASPX?ID=5571,实采,,1,https://www.gdskin.com/uploadimg/陈阳霞.jpg,01_试点医院/南方医科大学皮肤病医院/照片/陈阳霞-皮肤内科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,622537,a270e6a284ba254f96cf334429bbbd18ee583edb63afec2adff1098b07679624,800,1145,FULL_FETCH,
3851,黎明,https://www.gdskin.com/ShowNews.ASPX?ID=3851,实采,,1,https://www.gdskin.com/uploadimg/黎明.jpg,01_试点医院/南方医科大学皮肤病医院/照片/黎明-皮肤内科-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,611320,89ee0f70a62ebcb3e18c1f2af3262f0bd8429b07f70e81fc3f4abd70d4e2d91d,800,1200,FULL_FETCH,
3854,何仁亮,https://www.gdskin.com/ShowNews.ASPX?ID=3854,实采,,1,https://www.gdskin.com/uploadimg/何仁亮.jpg,01_试点医院/南方医科大学皮肤病医院/照片/何仁亮-皮肤外科-主任医师-南方医科大学皮肤病医院.jpg,jpg,jpg,524595,4f02999f07f998ee915708597dee3fbf98152c88e585fe48bbb72be77e0301fd,800,1200,TRIAL_REUSE,
5742,朱定衡,https://www.gdskin.com/ShowNews.ASPX?ID=5742,实采,,1,https://www.gdskin.com/uploadimg/朱定衡.jpg,01_试点医院/南方医科大学皮肤病医院/照片/朱定衡-皮肤外科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,498339,1fe18d08d573d4becdc7af1614a824a46c6c8073e575f1c1f286b53844a9328a,800,1200,FULL_FETCH,
5588,任盈盈,https://www.gdskin.com/ShowNews.ASPX?ID=5588,实采,,1,https://www.gdskin.com/uploadimg/任盈盈.jpg,01_试点医院/南方医科大学皮肤病医院/照片/任盈盈-中医皮肤科-主治医师-南方医科大学皮肤病医院.jpg,jpg,jpg,596961,be38cd47b1e161efecea3b1a1aeaff3cd1dd3f82cd59ffc4d19e2830d8ee2a15,800,1200,FULL_FETCH,
