姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
罗燕,http://www.gzzoc.org.cn/node/3160,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E7%BD%97%E7%87%95.jpg?itok=SzeOEd49,01_试点医院/中山大学中山眼科中心/照片/罗燕-玻璃体-教授-中山大学中山眼科中心.jpg,820655,980b466e963309de8f6d9040da99e6a8bd2578207194973c7faa765cdbf26e74,960,1440,
何嫦,http://www.gzzoc.org.cn/node/3274,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E4%BD%95%E5%AB%A6.jpg?itok=LmfEABle,01_试点医院/中山大学中山眼科中心/照片/何嫦-白内障-副主任医师-中山大学中山眼科中心.jpg,1201593,cbae7e5d9503e0c6dd2fb0d259df462b6296851efcf152800f6bbc17fb6d237e,960,1440,
刘奕志,http://www.gzzoc.org.cn/node/3257,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-12/zhaopian.jpg?itok=5hlsvHOm,01_试点医院/中山大学中山眼科中心/照片/刘奕志-白内障-教授-中山大学中山眼科中心.jpg,609893,05d450d6fca252fff2b969567b5f57dd9147431466bb6152bfe16090551754e4,960,1440,
刘臻臻,http://www.gzzoc.org.cn/node/3256,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%88%98%E8%87%BB%E8%87%BB.jpg?itok=D2z0JwxS,01_试点医院/中山大学中山眼科中心/照片/刘臻臻-白内障-主任医师-中山大学中山眼科中心.jpg,976048,6bdbc94b1fc16c200f4092cd72053fd1afe03ae6ecd1aeb16461c97023ea41cb,960,1440,
向武,http://www.gzzoc.org.cn/node/3156,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%90%91%E6%AD%A6.jpg?itok=tPP65mSJ,01_试点医院/中山大学中山眼科中心/照片/向武-白内障-副主任医师-中山大学中山眼科中心.jpg,757277,fbeefcdced3090f6869ff0ec6d179f509034f6b9506652e5a076835ac07186af,960,1350,
吴明星,http://www.gzzoc.org.cn/node/3262,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%90%B4%E6%98%8E%E6%98%9F.jpg?itok=5K6X9a_R,01_试点医院/中山大学中山眼科中心/照片/吴明星-白内障-教授-中山大学中山眼科中心.jpg,798824,3fa02c086cfdbad6069f2183a7621661bded38727d2eb2ce4c49f7c829ef3f46,960,1440,
吴晓航,http://www.gzzoc.org.cn/node/3275,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E5%90%B4%E6%99%93%E8%88%AA.jpg?itok=xyF3Jv2R,01_试点医院/中山大学中山眼科中心/照片/吴晓航-白内障-副主任医师-中山大学中山眼科中心.jpg,752285,cfa6508608fd8dec09fa56eaa2bf5cef58b4761872c8f95b96c0dc2587637699,960,1440,
曹乾忠,http://www.gzzoc.org.cn/node/3271,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9B%B9%E4%B9%BE%E5%BF%A0.jpg?itok=itSrbSgr,01_试点医院/中山大学中山眼科中心/照片/曹乾忠-白内障-副主任医师-中山大学中山眼科中心.jpg,1057394,c789f341ec3a2307e1bf0a83d391621fabc933c9db199cf6e8c17cac9fab506b,960,1440,
柳夏林,http://www.gzzoc.org.cn/node/3264,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E6%9F%B3%E5%A4%8F%E6%9E%97.jpg?itok=lyw_m45f,01_试点医院/中山大学中山眼科中心/照片/柳夏林-白内障-教授-中山大学中山眼科中心.jpg,993810,90dc6377a6ba3078b05e8848cd4e1d788919657801b83eab5d44f7b78d93d410,960,1440,
程冰,http://www.gzzoc.org.cn/node/3258,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E7%A8%8B%E5%86%B0.jpg?itok=OnjuvJTm,01_试点医院/中山大学中山眼科中心/照片/程冰-白内障-主任医师-中山大学中山眼科中心.jpg,951229,e32895d24f1da7c6e18ec39b7166247a2914017316f70067ad741957e0a3df25,960,1440,
罗莉霞,http://www.gzzoc.org.cn/node/3265,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E7%BD%97%E8%8E%89%E9%9C%9E.jpg?itok=8693G1nu,01_试点医院/中山大学中山眼科中心/照片/罗莉霞-白内障-教授-中山大学中山眼科中心.jpg,912528,5c10211883b1f5f69691f2cb42118d14ba2b993f3b97bdf4043500f8efdb0a44,960,1440,
范舒欣,http://www.gzzoc.org.cn/node/3277,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E8%8C%83%E8%88%92%E6%AC%A3.jpg?itok=5hsqsGpf,01_试点医院/中山大学中山眼科中心/照片/范舒欣-白内障-主治医师-中山大学中山眼科中心.jpg,807932,e3a1f39dfedcc94589123658961804734116abf29c77e706d23ba7830a921a59,960,1440,
郑丹莹,http://www.gzzoc.org.cn/node/3260,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-09/%E9%83%91%E4%B8%B9%E8%8E%B9.jpg?itok=Zt24NkjY,01_试点医院/中山大学中山眼科中心/照片/郑丹莹-白内障-教授-中山大学中山眼科中心.jpg,807451,f8d57944c79bc92f49a473ad703b2e0965ccfdad9e6640e37280ba913549f733,960,1440,
陈伟蓉,http://www.gzzoc.org.cn/node/3259,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%99%88%E4%BC%9F%E8%93%89.jpg?itok=P6JmlSII,01_试点医院/中山大学中山眼科中心/照片/陈伟蓉-白内障-教授-中山大学中山眼科中心.jpg,909647,7a7d047f8c99c3a9ac8e8e1739b200365cb87f58ea27e96e9fe3a8d2407045ae,960,1440,
陈卉,http://www.gzzoc.org.cn/node/3270,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%99%88%E5%8D%89.jpg?itok=0nTuL29q,01_试点医院/中山大学中山眼科中心/照片/陈卉-白内障-主任医师-中山大学中山眼科中心.jpg,1056450,7aaba7ad306168169b0482eac3c2ec8a2fc33382e416e550f0a50dcfc0adec25,960,1440,
靳光明,http://www.gzzoc.org.cn/node/3292,实采,,http://www.gzzoc.org.cn/sites/zoc.live1.sysucloud2.sysu.edu.cn/files/styles/large_960_x_auto_/public/2022-04/%E9%9D%B3%E5%85%89%E6%98%8E.jpg?itok=ieysAxHn,01_试点医院/中山大学中山眼科中心/照片/靳光明-白内障-副主任医师-中山大学中山眼科中心.jpg,799116,385e4ce6b51906831168f69a5bc4f59dd594a2b28aea8574617ebd7a51a60c5a,960,1440,
