姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
庞秀青,https://www.zssy.com.cn/node/29889,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BA%9E%E7%A7%80%E9%9D%92.jpg,01_试点医院/中山大学附属第三医院/照片/庞秀青-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,290891,6d3acf6fa94c4a3259a395ab5bd6fde557fcf829354d813e8b30958ad1518459,696,894,
张卡,https://www.zssy.com.cn/node/11068,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BC%A0%E5%8D%A1new.jpg,01_试点医院/中山大学附属第三医院/照片/张卡-感染性疾病科-主任医师-中山大学附属第三医院.jpg,323557,75cdbbc16a14344734708f7f24bd11154a12ab1bc6daead54eae52b6d67927ce,853,1280,
张宇锋,https://www.zssy.com.cn/node/11097,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909361876801127.jpg,01_试点医院/中山大学附属第三医院/照片/张宇锋-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,168279,7fa1fbf6c4ce2ff2b9c0b9abe116b82b3f54af27240ff6ae79cf921c6949c433,500,667,
张晓红,https://www.zssy.com.cn/node/11100,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909275728200283.jpg,01_试点医院/中山大学附属第三医院/照片/张晓红-感染性疾病科-主任医师-中山大学附属第三医院.jpg,189270,35249fdb9c9a2ee3d48fa4e899837607d36b44822175b3253461413c828c7fbd,500,702,
张绍全,https://www.zssy.com.cn/node/15040,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220208094516.jpg,01_试点医院/中山大学附属第三医院/照片/张绍全-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,25881,3c19e6165f6192e353182ddb92834fc712dedf02c7e4aa4cd03decf3c17b73e5,327,439,
张耿林,https://www.zssy.com.cn/node/15048,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BC%A0%E8%80%BF%E6%9E%97.jpg,01_试点医院/中山大学附属第三医院/照片/张耿林-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,296763,8538b910cf7f793b4b8b05ab5183a293bf2fab9d40cbbab48c4ea5b4b4d678c2,1129,1305,
张英,https://www.zssy.com.cn/node/15043,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E5%BC%A0%E8%8B%B1.jpg,01_试点医院/中山大学附属第三医院/照片/张英-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,166258,b6a66e1c020155987efc132ff1d12658ccc79205e2820d2b770e6d29aa4587df,500,667,
彭亮,https://www.zssy.com.cn/node/11095,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909390192001128.jpg,01_试点医院/中山大学附属第三医院/照片/彭亮-感染性疾病科-主任医师-中山大学附属第三医院.jpg,150737,d10660fb3dad0fd4fa17a8414fc9f40f583310d6372f1cf896519992e13c7a73,500,667,
揭育胜,https://www.zssy.com.cn/node/15044,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E6%8F%AD%E8%82%B2%E8%83%9C.jpg,01_试点医院/中山大学附属第三医院/照片/揭育胜-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,201056,0996df4a4f844d9d393e4facfe0bd941e1dc8049b218b592eb115780ee80e456,500,667,
曹红,https://www.zssy.com.cn/node/11118,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909371383702317.jpg,01_试点医院/中山大学附属第三医院/照片/曹红-感染性疾病科-主任医师-中山大学附属第三医院.jpg,186709,6637368c37982749d8e1abb38bb042318e031c7e768412b7aa9ebc45038f9fba,500,667,
