详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
238,胡全福,http://www.ny5y.cn/yisheng_xq.php?id=238,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665628157422141.png,01_试点医院/南方医科大学第五附属医院/照片/胡全福-耳鼻咽喉科-副主任医师-南方医科大学第五附属医院.png,png,png,206284,365de7afaaea86d26d94bde3ca31ad79879bbd34e6123978c8c045067fdfb662,413,579,FULL_FETCH,
248,刘鸿亚,http://www.ny5y.cn/yisheng_xq.php?id=248,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665731129102290.png,01_试点医院/南方医科大学第五附属医院/照片/刘鸿亚-肝胆外科-副主任医师-南方医科大学第五附属医院.png,png,png,119999,3c2a345b0a0d69c51f6990b0f6f2cea039c047ae5efd0968c68c6fb3d4723adb,413,579,FULL_FETCH,
410,张志,http://www.ny5y.cn/yisheng_xq.php?id=410,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260528/1779937383975917.jpg,01_试点医院/南方医科大学第五附属医院/照片/张志-肝胆外科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,221353,18c1c1dca5f8e8b69de07ccecbd8aef65f58c6892fae5fd6396145dd93c87767,2133,3200,FULL_FETCH,
247,文辉清,http://www.ny5y.cn/yisheng_xq.php?id=247,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665565138507645.png,01_试点医院/南方医科大学第五附属医院/照片/文辉清-肝胆外科-主任医师-南方医科大学第五附属医院.png,png,png,155062,a760c45283d6095f7e75404d89b3876b165a7cfaccc3a9e265ebcef8cb2ca31b,413,579,FULL_FETCH,
508,毕慧欣,http://www.ny5y.cn/yisheng_xq.php?id=508,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260318/1773805431999370.png,01_试点医院/南方医科大学第五附属医院/照片/毕慧欣-肾内科-主任医师-南方医科大学第五附属医院.png,png,png,76693,5f4943f235964df1d23be0dad8e08a2fda6aa7518f726d5046f32df2bdf314ba,304,417,FULL_FETCH,
290,钟艺文,http://www.ny5y.cn/yisheng_xq.php?id=290,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260318/1773805774100087.png,01_试点医院/南方医科大学第五附属医院/照片/钟艺文-肾内科-副主任医师-南方医科大学第五附属医院.png,png,png,58682,040afb8eea33e8a7b0f67ab42c9224c7e14cfae51dfa0b482178193d4e937e6d,264,363,FULL_FETCH,
478,何卓凯,http://www.ny5y.cn/yisheng_xq.php?id=478,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665559238125781.png,01_试点医院/南方医科大学第五附属医院/照片/何卓凯-肿瘤科-副主任医师-南方医科大学第五附属医院.png,png,png,164294,de6da92057b28cb02f8b431ebf32e7b73f9e8229d05571be7ef5d3a1c28c22fc,413,579,FULL_FETCH,OWNER_APPROVED_SAME_PERSON_ALLOWLIST: 同名+同职称+擅长逐字一致+同 SHA 异上传路径; sha256=de6da92057b28cb02f8b431ebf32e7b73f9e8229d05571be7ef5d3a1c28c22fc; owner_ruling=https://github.com/nancywrayg57-jpg/doctor-data-collection/pull/80#issuecomment-5337332486
312,张克勤,http://www.ny5y.cn/yisheng_xq.php?id=312,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665715554132073.png,01_试点医院/南方医科大学第五附属医院/照片/张克勤-肿瘤科-主任医师-南方医科大学第五附属医院.png,png,png,156338,ffd08c04eee958b6c9631024394aaab388ec4dbea34f97fb81b39e4a40ad26d9,413,579,FULL_FETCH,
475,曾世彬,http://www.ny5y.cn/yisheng_xq.php?id=475,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221012/1665559431124120.png,01_试点医院/南方医科大学第五附属医院/照片/曾世彬-肿瘤科-副主任医师-南方医科大学第五附属医院.png,png,png,138464,fe84d3bfbeb43e0611039a004505a1e29607a7ea21923cdd19626dd839d6fb4d,413,579,FULL_FETCH,
416,郭敏,http://www.ny5y.cn/yisheng_xq.php?id=416,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260304/1772612267902806.jpg,01_试点医院/南方医科大学第五附属医院/照片/郭敏-肿瘤科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,66078,1693f8e090a95187523c098ff5f8e477a09606ba7e6e625f9b832e84ab338dd0,804,1298,FULL_FETCH,
