ID,姓名,来源链接,状态,失败分类,分类状态,API category,API keshi_ids,API image 字段原值,照片链接,照片文件,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
152,张云燕,https://www.gykqyy.com/list.html?category=55&id=152,实采,,FINAL,55,16,https://www.gykqyy.com/uploads/20240724/29a5b13779b11fa076c6f0031f905616.jpg,https://www.gykqyy.com/uploads/20240724/29a5b13779b11fa076c6f0031f905616.jpg,01_试点医院/广州医科大学附属口腔医院/照片/张云燕-越秀院区儿童口腔科-副主任医师-广州医科大学附属口腔医院.png,png,1081247,47fd7198aa3a8b98703a7bc6293273e0a4acc4776ece6e01025a6850f4ab95b9,697,924,TRIAL_REUSE,
198,黄江勇,https://www.gykqyy.com/list.html?category=55&id=198,实采,,FINAL,55,"19,39",https://www.gykqyy.com/uploads/20240710/5af0a861ba46072163b56e86227d2744.jpg,https://www.gykqyy.com/uploads/20240710/5af0a861ba46072163b56e86227d2744.jpg,01_试点医院/广州医科大学附属口腔医院/照片/黄江勇-越秀院区口腔修复科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,438872,2227cbfc893700b3c41e23a27a320f4a033dbc93c4f06cc743d74a0ea730354d,2095,2861,FULL_FETCH,
5,杜发亮,https://www.gykqyy.com/list.html?category=55&id=5,实采,,FINAL,55,"39,37",https://www.gykqyy.com/uploads/20240710/e166fb7560d199891d941a0e882c8925.jpg,https://www.gykqyy.com/uploads/20240710/e166fb7560d199891d941a0e882c8925.jpg,01_试点医院/广州医科大学附属口腔医院/照片/杜发亮-专家门诊特诊中心-副主任医师-广州医科大学附属口腔医院.jpg,jpg,465186,0070688121eb59065f534bfc6d00b687a8a3e113dd11cee72e4319a54029a157,2481,3430,TRIAL_REUSE,
241,余挺,https://www.gykqyy.com/list.html?category=55&id=241,实采,,FINAL,55,21,https://www.gykqyy.com/uploads/20240710/2499360d61fd7ab79c766c2ab46bba16.jpg,https://www.gykqyy.com/uploads/20240710/2499360d61fd7ab79c766c2ab46bba16.jpg,01_试点医院/广州医科大学附属口腔医院/照片/余挺-越秀院区牙周病科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,516522,900888f6dab3f91e374b18c0f8d17ff0ea574162347238e6be303d1dbac403f2,2336,3213,TRIAL_REUSE,
287,熊洁,https://www.gykqyy.com/list.html?category=55&id=287,实采,,FINAL,55,"24,27",https://www.gykqyy.com/uploads/20240710/a0ede84b83d0b74d17a4387157281ac2.jpg,https://www.gykqyy.com/uploads/20240710/a0ede84b83d0b74d17a4387157281ac2.jpg,01_试点医院/广州医科大学附属口腔医院/照片/熊洁-荔湾院区综合急诊科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,459206,d117442150125669cfd69bb6539bff146d57e8a4eca8c8e02b97a2d11c6cabfe,2192,3150,TRIAL_REUSE,
213,杜暘,https://www.gykqyy.com/list.html?category=55&id=213,实采,,FINAL,55,20,https://www.gykqyy.com/uploads/20240716/26f2844ee5e6e4a02bb57a0999262e96.jpg,https://www.gykqyy.com/uploads/20240716/26f2844ee5e6e4a02bb57a0999262e96.jpg,01_试点医院/广州医科大学附属口腔医院/照片/杜暘-越秀院区牙体牙髓科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,2202646,ded042bacb452ece3a44c557a87bfceb846362ba8a87a2791433c649e6e27284,2083,2824,FULL_FETCH,
258,张斌,https://www.gykqyy.com/list.html?category=55&id=258,实采,,FINAL,55,38,https://www.gykqyy.com/uploads/20240710/d18943fa04bfd0aeb06e59900d829753.jpg,https://www.gykqyy.com/uploads/20240710/d18943fa04bfd0aeb06e59900d829753.jpg,01_试点医院/广州医科大学附属口腔医院/照片/张斌-正畸与儿童口腔中心-副主任医师-广州医科大学附属口腔医院.jpg,jpg,473078,8b95af93cb573a2f88a634470e6a2c6c148cfc2696c557ee642ca8dfa1d672f3,2386,3210,TRIAL_REUSE,
33,刘亚蕊,https://www.gykqyy.com/list.html?category=55&id=33,实采,,FINAL,55,5,https://www.gykqyy.com/uploads/20240710/1b99d7dee717bb8f1791fdd6c95f2b07.jpg,https://www.gykqyy.com/uploads/20240710/1b99d7dee717bb8f1791fdd6c95f2b07.jpg,01_试点医院/广州医科大学附属口腔医院/照片/刘亚蕊-荔湾院区儿童口腔科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,734718,8ca1cb2e630006addacd129c4f9b1e0d4f4a9e66709e3bf3940e3ae5b7945dde,2782,3691,FULL_FETCH,
81,张晓蓉,https://www.gykqyy.com/list.html?category=55&id=81,实采,,FINAL,55,10,https://www.gykqyy.com/uploads/20240710/b60727a62a8e31767fcceaec111e67be.jpg,https://www.gykqyy.com/uploads/20240710/b60727a62a8e31767fcceaec111e67be.jpg,01_试点医院/广州医科大学附属口腔医院/照片/张晓蓉-荔湾院区牙体牙髓科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,626278,eedb0c6537c43d2937bd07146f4c0d57a27ffc8f87c3d4cbafc6a56ba71964ae,2541,3467,FULL_FETCH,
128,方颖,https://www.gykqyy.com/list.html?category=55&id=128,实采,,FINAL,55,14,https://www.gykqyy.com/uploads/20240710/5110631a921deabba117783c6a61f51b.jpg,https://www.gykqyy.com/uploads/20240710/5110631a921deabba117783c6a61f51b.jpg,01_试点医院/广州医科大学附属口腔医院/照片/方颖-荔湾院区口腔种植科-副教授-广州医科大学附属口腔医院.jpg,jpg,555504,6fe03b86495f699f8b18f227b96972abbc13eecd49acaa7b69af29d5e6700ec8,2659,3790,FULL_FETCH,
112,吴晓雪,https://www.gykqyy.com/list.html?category=55&id=112,实采,,FINAL,55,13,https://www.gykqyy.com/uploads/20240710/e5c199ab3daa64b1031f0f442b4fe3ea.jpg,https://www.gykqyy.com/uploads/20240710/e5c199ab3daa64b1031f0f442b4fe3ea.jpg,01_试点医院/广州医科大学附属口腔医院/照片/吴晓雪-荔湾院区口腔正畸科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,832977,aa1d6305070aa08ab18c1889ffc872ff1d6b0d6c8e78a215fd8d3fbdbe593b6c,2542,3423,FULL_FETCH,
138,张戎,https://www.gykqyy.com/list.html?category=55&id=138,实采,,FINAL,55,15,https://www.gykqyy.com/uploads/20240716/cf686665c8209127a1b6e2916ed714df.png,https://www.gykqyy.com/uploads/20240716/cf686665c8209127a1b6e2916ed714df.png,01_试点医院/广州医科大学附属口腔医院/照片/张戎-越秀院区颞下颌关节科-主任医师-广州医科大学附属口腔医院.png,png,133703,d3c7d75ce5bde258a0b8ee7295dd98804f66e7924ee9b95adee2379fc2362a94,308,401,FULL_FETCH,
172,匡威,https://www.gykqyy.com/list.html?category=55&id=172,实采,,FINAL,55,"17,39",https://www.gykqyy.com/uploads/20240710/2548506dbfc0997787a8d44143c09b1e.jpg,https://www.gykqyy.com/uploads/20240710/2548506dbfc0997787a8d44143c09b1e.jpg,01_试点医院/广州医科大学附属口腔医院/照片/匡威-越秀院区口腔颌面外科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,538499,fbb74f0265465629fab6660f5d28a5db1c6d350717bf37de0283b907f1be20a0,2611,3346,FULL_FETCH,
197,罗涛,https://www.gykqyy.com/list.html?category=55&id=197,实采,,FINAL,55,19,https://www.gykqyy.com/uploads/20240710/b6ce0f7f1e013345e3f8a674f43a8f7e.jpg,https://www.gykqyy.com/uploads/20240710/b6ce0f7f1e013345e3f8a674f43a8f7e.jpg,01_试点医院/广州医科大学附属口腔医院/照片/罗涛-越秀院区口腔修复科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,756967,ef85e8ecce8739cf1671c0cd4e489021dd75544648779b8c6ad16aa9ed12e556,2498,3581,FULL_FETCH,
211,朱玉婷,https://www.gykqyy.com/list.html?category=55&id=211,实采,,FINAL,55,20,https://www.gykqyy.com/uploads/20240710/9740a2b0e83f65abe503903f3e75d036.jpg,https://www.gykqyy.com/uploads/20240710/9740a2b0e83f65abe503903f3e75d036.jpg,01_试点医院/广州医科大学附属口腔医院/照片/朱玉婷-越秀院区牙体牙髓科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,111735,cb13321614c547c66b74deed72a433b99a497ef1e8d5bc8502a0c9f3b2d2cdb4,1281,1664,FULL_FETCH,
4,林婷,https://www.gykqyy.com/list.html?category=55&id=4,实采,,FINAL,55,22,https://www.gykqyy.com/uploads/20240710/92e702b72557513dfbe9921737109a66.jpg,https://www.gykqyy.com/uploads/20240710/92e702b72557513dfbe9921737109a66.jpg,01_试点医院/广州医科大学附属口腔医院/照片/林婷-越秀院区口腔正畸科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,472099,725f0e18529587a1f5a34eb64c782b5e9107f9cf4555f7a3b29ebbd6d8619123,2149,2752,FULL_FETCH,
124,杨岚,https://www.gykqyy.com/list.html?category=55&id=124,实采,,FINAL,55,14,https://www.gykqyy.com/uploads/20240710/4532300914bac2822cbee488471cc88b.jpg,https://www.gykqyy.com/uploads/20240710/4532300914bac2822cbee488471cc88b.jpg,01_试点医院/广州医科大学附属口腔医院/照片/杨岚-荔湾院区口腔种植科-副教授-广州医科大学附属口腔医院.jpg,jpg,32642,271dc60758ebd8dc8e28f1e2c84d8a640cc2f03b75fcf9f380305bbc6d8186cd,541,781,FULL_FETCH,
137,郝建锁,https://www.gykqyy.com/list.html?category=55&id=137,实采,,FINAL,55,15,https://www.gykqyy.com/uploads/20240716/b3d5650e1fff815c6b6262079b6aca19.png,https://www.gykqyy.com/uploads/20240716/b3d5650e1fff815c6b6262079b6aca19.png,01_试点医院/广州医科大学附属口腔医院/照片/郝建锁-越秀院区颞下颌关节科-副主任医师-广州医科大学附属口腔医院.png,png,52228,166ba8eb965ba08c0b085a490f7dbe2d5c33a3890ed021b917a0e490b47b2c3f,177,266,FULL_FETCH,
272,赵世勇,https://www.gykqyy.com/list.html?category=55&id=272,实采,,FINAL,55,"23,39",https://www.gykqyy.com/uploads/20240710/e520e536f5a2b56fc8f2030beeb02dbd.jpg,https://www.gykqyy.com/uploads/20240710/e520e536f5a2b56fc8f2030beeb02dbd.jpg,01_试点医院/广州医科大学附属口腔医院/照片/赵世勇-越秀院区口腔种植科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,33590,f3805fca034d1edb1d30e7f1caeb6b2690b0bb363bfbff42d285541c337a9392,597,820,FULL_FETCH,
212,王伟东,https://www.gykqyy.com/list.html?category=55&id=212,实采,,FINAL,55,20,https://www.gykqyy.com/uploads/20240710/afa770f4b71ad46e9044080fb41f2d87.jpg,https://www.gykqyy.com/uploads/20240710/afa770f4b71ad46e9044080fb41f2d87.jpg,01_试点医院/广州医科大学附属口腔医院/照片/王伟东-越秀院区牙体牙髓科-副主任医师-广州医科大学附属口腔医院.jpg,jpg,507913,3cf1b736ac74036b9224c39fe4e57b2b2e772b9aa29e9e99e8ac2e8e227cd8cb,2295,3250,FULL_FETCH,
