姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,来源批次,错误证据
郑韶欣,https://www.gzsys.org.cn/doctor/14832,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13127.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/郑韶欣-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,171884,997c2f333f361a0765156237bdd1d47b3667bc886057a47e22d3b52108322a56,482,689,FULL_FETCH,
耿登峰,https://www.gzsys.org.cn/doctor/14823,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12140.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/耿登峰-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,247433,09c58a37c61d961d61d9b24f976f5148d40771f63834aa6706c631964c02b812,1080,1620,FULL_FETCH,
杨莉,https://www.gzsys.org.cn/doctor/14822,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10440.JPG,01_试点医院/中山大学孙逸仙纪念医院/照片/杨莉-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,10229,45b4337d38295d5551c73168262991feead45f1775c9656d5a66cc27d9c0df52,168,240,FULL_FETCH,
麦友刚,https://www.gzsys.org.cn/node/14582,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10035.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/麦友刚-新生儿及儿童重症专科-主任医师-中山大学孙逸仙纪念医院.jpg,10042,3eec5d3a258f47a4c69d7e761f1fadb472c4c6e7abb4d57b6152fc29d1b674b1,168,240,FULL_FETCH,
王川,https://www.gzsys.org.cn/node/15329,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13116.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王川-内分泌内科-主任医师-中山大学孙逸仙纪念医院.jpg,49261,0355653675d3bd5db1946b2e5d48f0bcaaf65a8b6dbee7d79470a347cf7ebccc,168,224,FULL_FETCH,
吴木潮,https://www.gzsys.org.cn/doctor/15319,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10311.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/吴木潮-内分泌内科-主任医师-中山大学孙逸仙纪念医院.jpg,11602,9988615f26062885dd876e730d4dbbc44f8326c9b05306c6d979886324e975fc,168,240,FULL_FETCH,
郭颖,https://www.gzsys.org.cn/node/15323,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9440.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/郭颖-内分泌内科-主任医师-中山大学孙逸仙纪念医院.jpg,14738,b41bb0b839d9eb7082bcc8f5458b759bd74802e1d5b6d42d1901d1a4ccdcd198,355,507,FULL_FETCH,
劳国娟,https://www.gzsys.org.cn/node/15324,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9625.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/劳国娟-内分泌内科-主任医师-中山大学孙逸仙纪念医院.jpg,1148007,c5774b3a90f7c25fd498b6f6d632f19c4295722a619b436f0d352c4cd430c862,3744,5616,FULL_FETCH,
孙侃,https://www.gzsys.org.cn/node/15331,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E5%86%85%E5%88%86%E6%B3%8C%E5%86%85%E7%A7%91%E5%AD%99%E4%BE%83.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/孙侃-内分泌内科-主任医师-中山大学孙逸仙纪念医院.jpg,80843,375567cfb157f789f0d19c9c2abc2f0af6a9069e5a376619d59e18d24ebb4567,707,947,FULL_FETCH,
来伟,https://www.gzsys.org.cn/node/14795,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13906.jpeg,01_试点医院/中山大学孙逸仙纪念医院/照片/来伟-胃肠外科-主任医师-中山大学孙逸仙纪念医院.jpg,81117,d7ce3ebbf62e8e354be6166a7c6d69a2ca9e910376b11d9fc2b8e30df40edeb6,344,482,FULL_FETCH,
赖东明,https://www.gzsys.org.cn/doctor/14793,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12143.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/赖东明-胃肠外科-主任医师-中山大学孙逸仙纪念医院.jpg,6779,ec5820174c3560fc60848674d6a5d44c1fc2fb9de2a1fd70d868646f8edb07a7,170,225,FULL_FETCH,
吴葆菁,https://www.gzsys.org.cn/doctor/14584,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10285.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/吴葆菁-儿科呼吸专科-主任医师-中山大学孙逸仙纪念医院.jpg,9840,8a8b646136d5455b4d743fbf6999130230db890c3153b0045bec1b02cb8710e6,168,240,FULL_FETCH,
闵筱辉,https://www.gzsys.org.cn/doctor/15628,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/02182%20%E9%97%B5%E7%AD%B1%E8%BE%89_%E5%89%AF%E6%9C%AC.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/闵筱辉-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,1961473,370447e11961ed5a3e22f0be2b8d6a7c03df7dbf8a4db8cb5f83f66b1d58e7bc,2615,3769,FULL_FETCH,
饶南燕,https://www.gzsys.org.cn/node/14900,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E9%A5%B6%E5%8D%97%E7%87%95_%E5%89%AF%E6%9C%AC.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/饶南燕-乳腺整形专科-主任医师-中山大学孙逸仙纪念医院.jpg,1818779,e6563983675a74e985ebcb28031a602dcce3452decebaf3fa0c6eff53ca139c3,2400,3600,FULL_FETCH,
黄凤婷,https://www.gzsys.org.cn/node/14802,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12668.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/黄凤婷-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,4646,e389f382e401f3a8cd9f30128ad8c6f8a7723a4a935073a56a10e1608c3c3a74,168,240,FULL_FETCH,
钟娃,https://www.gzsys.org.cn/doctor/14813,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10682.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/钟娃-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,11743,b187b8c7332a152f7f95a103e3cf97e8d977e7f2ca416e88a6199e7b10448f9c,168,240,FULL_FETCH,
黎洪浩,https://www.gzsys.org.cn/node/14559,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9636.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/黎洪浩-甲状腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,30363,1dc6fc26fa0cb412992a1d79d8c8780cefe6d024a75123123aa8e9e82ab324ef,307,424,FULL_FETCH,
熊小强,https://www.gzsys.org.cn/node/14532,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10394.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/熊小强-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,53306,8ca73cb89959a7fe39845ad43a72b7d1a29d12c86e2002459de7aba5e6d71154,570,740,FULL_FETCH,
李锴文,https://www.gzsys.org.cn/node/15439,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E9%94%B4%E6%96%87.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李锴文-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,1878774,a5c410455f5888e1d9dee9a555b527627f16dca17ceb45a8c78ba75651f9a2d8,1951,2731,FULL_FETCH,
