姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
何为群,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_23.html,实采,,https://www.gyfyyy.cn/images/doctor/HEWEIQUN.jpg,01_试点医院/广州医科大学附属第一医院/照片/何为群-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,40375,bcccd1398266052ad63f61fe122145ae28102a24325b8d48f6d1347a6d9d4567,FFD8FFDB0084000101010101,325,400,doctor原图,
杨新艳,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_24.html,实采,,https://www.gyfyyy.cn/images/doctor/YANGXINYAN.jpg,01_试点医院/广州医科大学附属第一医院/照片/杨新艳-呼吸与危重症医学科-副主任医师-广州医科大学附属第一医院.jpg,37367,16e94e186363f32ec53227d5386087149ac840d32c5fe6c2ad8619cfcac4fa7d,FFD8FFDB0084000101010101,325,400,doctor原图,
孙丽红,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_25.html,实采,,https://www.gyfyyy.cn/images/doctor/SUNLIGONG.jpg,01_试点医院/广州医科大学附属第一医院/照片/孙丽红-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,36433,d9e1e56ca96db701a5ee5920efaa918be65caf09b71a6c63df2d6b7d6c368d26,FFD8FFDB0084000101010101,325,400,doctor原图,
张清玲,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_26.html,实采,,https://www.gyfyyy.cn/images/doctor/ZHANGQINGLING.jpg,01_试点医院/广州医科大学附属第一医院/照片/张清玲-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,42939,7e27c133f5f748467aadc71539fd1e7421200f00975dc13aa9043d47155d67ff,FFD8FFDB0084000101010101,325,400,doctor原图,
彭公永,https://www.gyfyyy.cn/cn/ks/nk/lnbk/doctor_873.html,实采,,https://www.gyfyyy.cn/images/doctor/PENGGONGYONG.jpg,01_试点医院/广州医科大学附属第一医院/照片/彭公永-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,39576,baf94ee8e887dc4b8073fa525c40263de13e650d91eeeb53d25b165f30695ae3,FFD8FFDB0084000101010101,325,400,doctor原图,
叶枫,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_28.html,实采,,https://www.gyfyyy.cn/images/doctor/YEFENG.jpg,01_试点医院/广州医科大学附属第一医院/照片/叶枫-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,38177,f8cd2c10387570f4d42df7ab84136288a61b952e2463cb50ba5b951fa844af8f,FFD8FFDB0084000101010101,325,400,doctor原图,
谢展鸿,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_29.html,实采,,https://www.gyfyyy.cn/images/doctor/XIEZHANHONG.jpg,01_试点医院/广州医科大学附属第一医院/照片/谢展鸿-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,38676,ef03c098c46c547e1d323507497970fb5821ce17db969494e7f293eadc140cba,FFD8FFDB0084000101010101,325,400,doctor原图,
刘杰,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_30.html,实采,,https://www.gyfyyy.cn/images/doctor/LIUJIE.jpg,01_试点医院/广州医科大学附属第一医院/照片/刘杰-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,33366,9cbb9efd0ac10ba2274b39f83d41eef48487a5dcf33ff5ba9ac19072285f7534,FFD8FFDB0084000101010101,325,400,doctor原图,
刘春丽,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_31.html,实采,,https://www.gyfyyy.cn/images/doctor/LIUCHUNLI.jpg,01_试点医院/广州医科大学附属第一医院/照片/刘春丽-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,36537,3265e930d82b9ee75622703ff387b91270ee0f5a6e2774f2d7af3dccadb54413,FFD8FFDB0084000101010101,325,400,doctor原图,
王健,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_32.html,实采,,https://www.gyfyyy.cn/images/doctor/WANGJIAN.jpg,01_试点医院/广州医科大学附属第一医院/照片/王健-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,34716,9a74042dfc0b92e2f1702eb496a7a63d680d4616d50f9310334ce6d598ba49a7,FFD8FFDB0084000101010101,325,400,doctor原图,
罗群,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_33.html,实采,,https://www.gyfyyy.cn/images/doctor/LUOQUN.jpg,01_试点医院/广州医科大学附属第一医院/照片/罗群-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,37565,4a8934968b1f9ef75a861907b8755f1fa631f115993e2276434e0cc870f3e176,FFD8FFDB0084000101010101,325,400,doctor原图,
巨春蓉,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_34.html,实采,,https://www.gyfyyy.cn/images/doctor/JUCHUNRONG.jpg,01_试点医院/广州医科大学附属第一医院/照片/巨春蓉-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,43796,e7d05e331dbedfb912b53ed7329c2f0b64c1ca895e507ad922369ec221948802,FFD8FFDB0084000101010101,325,400,doctor原图,
洪城,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_35.html,实采,,https://www.gyfyyy.cn/Upload/202312/638378990596809484.jpg,01_试点医院/广州医科大学附属第一医院/照片/洪城-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,94274,a719a6e10855679bd2d65adfaf3cdb7f6782a880e3ba607e4638d23f82e3a5bd,FFD8FFE11394457869660000,325,400,Upload原图,
黄铮,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_36.html,实采,,https://www.gyfyyy.cn/images/doctor/HUANGZHENG.jpg,01_试点医院/广州医科大学附属第一医院/照片/黄铮-心血管内科-主任医师-广州医科大学附属第一医院.jpg,37477,a32a9814527d458c7d1551b9543d6f7957d1559795b71130a2355eed30571286,FFD8FFDB0084000101010101,325,400,doctor原图,
何兆初,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_37.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658952722267645.jpg,01_试点医院/广州医科大学附属第一医院/照片/何兆初-心血管内科-主任医师-广州医科大学附属第一医院.jpg,3232,35591404581922d5d5328c0179c11c1bc0819919c6491d9055cb1ee239d4ca77,FFD8FFE000104A4649460001,100,145,Upload原图,
陈爱兰,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_39.html,实采,,https://www.gyfyyy.cn/images/doctor/CHENAILAN.jpg,01_试点医院/广州医科大学附属第一医院/照片/陈爱兰-心血管内科-主任医师-广州医科大学附属第一医院.jpg,39162,36890dcb982570e7bb8e563261bc9b90001fb920ade91b0ad1894e7e20b96208,FFD8FFDB0084000101010101,325,400,doctor原图,
吴峻,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_40.html,实采,,https://www.gyfyyy.cn/images/doctor/WUJUN.jpg,01_试点医院/广州医科大学附属第一医院/照片/吴峻-心血管内科-主任医师-广州医科大学附属第一医院.jpg,35869,6f7987f7f1258c904fdf3d2435d4d5d8733f6585d9bdc75e11da7fe2e8cfb46b,FFD8FFDB0084000101010101,325,400,doctor原图,
曾昭华,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_41.html,实采,,https://www.gyfyyy.cn/Upload/202203/637817391104295223.jpg,01_试点医院/广州医科大学附属第一医院/照片/曾昭华-心血管内科-主任医师-广州医科大学附属第一医院.jpg,78469,8f52cb87284b17356c7ce5eb08c7106cbc8dc6a00278a3badc6f27faa0087f52,FFD8FFDB0084000101010101,325,400,Upload原图,
区碧如,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_42.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658953104360365.jpg,01_试点医院/广州医科大学附属第一医院/照片/区碧如-心血管内科-副主任医师-广州医科大学附属第一医院.jpg,3512,ba14af9e15527938a7a775ab73bf3ecc34f35d24f38d4137ab34569a19ef5d0a,FFD8FFE000104A4649460001,100,145,Upload原图,
陆冬晓,https://www.gyfyyy.cn/cn/ks/nk/xxgnk/doctor_43.html,实采,,https://www.gyfyyy.cn/images/doctor/LIUDONGXIAO.jpg,01_试点医院/广州医科大学附属第一医院/照片/陆冬晓-心血管内科-主任医师-广州医科大学附属第一医院.jpg,43367,c637a8f8a603e11da7024231704d3a5558e07f2c7846acdad025aa6bc029ed5f,FFD8FFDB0084000101010101,325,400,doctor原图,
