row_number,sequence,hospital,name,source_link,original_length,removed_segment,removed_length,remaining_length,segment_start,segment_end,segment_position,match_type,site_title,name_variant,owner_atypical_profile_case,quote_boundary_status,original_sha256,remaining_sha256
872,871,中山大学肿瘤防治中心,王培宗,https://www.sysucc.org.cn/node/10591,190,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 王培宗 ,45,145,0,45,START,SYSUCC_CLINICAL_EXPERT,王培宗,NO,NO,NO_ADJACENT_QUOTE,6c1db12f49107946b4822e244e11efd2d4fa502913a07d3fb6937e798a3abbbe,01a02577117f01382dd82a15c83b9ddfa4f486bbd48351223bbad0d2056ee6da
873,872,中山大学肿瘤防治中心,王旭东,https://www.sysucc.org.cn/node/3826,425,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 王旭东 ,45,380,0,45,START,SYSUCC_CLINICAL_EXPERT,王旭东,NO,NO,NO_ADJACENT_QUOTE,690051fce30a6bc7c534ab6d25762ea7d0cffe6813207f9d94f4ddf69d360542,38135b67b4f4c61eaff83451d0430e226fcdcb166f0f13c69f6e67707640df5b
874,873,中山大学肿瘤防治中心,谢敬敦,https://www.sysucc.org.cn/node/3823,428,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 谢敬敦 ,45,383,0,45,START,SYSUCC_CLINICAL_EXPERT,谢敬敦,NO,NO,NO_ADJACENT_QUOTE,cad96a4e6c3fb7f0056f54092d321fd6225eee87814a81e8fdf4c7a097c7aa4d,feb693e2553be42e6e78bf7146e9cd3448ab8375cbf4e17a186f032f7b6979cf
875,874,中山大学肿瘤防治中心,谢曼修,https://www.sysucc.org.cn/node/6861,514,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 谢曼修 ,45,469,0,45,START,SYSUCC_CLINICAL_EXPERT,谢曼修,NO,NO,NO_ADJACENT_QUOTE,9360a75d5070e310558dbdb3374c8efe3720c05bb42c0cd98381f285024a8888,4851b2bf6089e96cc3dab59b151a3f4e3291567c130856b7ccff01c91d1f4230
876,875,中山大学肿瘤防治中心,谭红鹰,https://www.sysucc.org.cn/node/3828,245,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 谭红鹰 ,45,200,0,45,START,SYSUCC_CLINICAL_EXPERT,谭红鹰,NO,NO,NO_ADJACENT_QUOTE,3bdf6a4bdd4cc59c4940f973b764a653494445ee2eda6702a3d11f0d1a01075c,45742e0077a22e2f592234d23af58acb43a68aa889d65a31599a6e6cedc9827e
877,876,中山大学肿瘤防治中心,赖仁纯,https://www.sysucc.org.cn/node/3821,1800,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 赖仁纯 ,45,1755,0,45,START,SYSUCC_CLINICAL_EXPERT,赖仁纯,NO,NO,NO_ADJACENT_QUOTE,605f6b691847b90c9cf2660d0af63c133ee06a4e38bb24488a3a6b3c810483ed,5125f2893d54f33ebfb28a39f7baa02825c834df8b76ad11ff548d24c6086f08
878,877,中山大学肿瘤防治中心,赖洁兰,https://www.sysucc.org.cn/node/3835,244,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 赖洁兰 ,45,199,0,45,START,SYSUCC_CLINICAL_EXPERT,赖洁兰,NO,NO,NO_ADJACENT_QUOTE,2529c1692cfb0e897c8a2e682cfd384a0709212a87929bff634975b21ab82294,db2ef3e7db52ad15787214fc89bccbad0fa28b55792b9574ab8fea92f3b6824b
879,878,中山大学肿瘤防治中心,邢蔚,https://www.sysucc.org.cn/node/3825,1062,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 邢蔚 ,44,1018,0,44,START,SYSUCC_CLINICAL_EXPERT,邢蔚,NO,NO,NO_ADJACENT_QUOTE,daf997195fcc1f31e97d959e7489fc094a4a2c17310d8dcb3780056e351b4e1b,9ca4e6a3090d7261a0ac7e97d0a0a5b1d84d762f8f84f5f1710af4aa1e00f3ab
880,879,中山大学肿瘤防治中心,郭娜,https://www.sysucc.org.cn/node/8377,193,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 郭娜 ,44,149,0,44,START,SYSUCC_CLINICAL_EXPERT,郭娜,NO,NO,NO_ADJACENT_QUOTE,5e7507dc299350c69c85ac1892f91b0d5d214a9984aab6c1d18b7c0794253327,7e84ead25b553254cc059ae5dd70d012fc3e5647bb67d1f1cdbc6e9cec6920f6
881,880,中山大学肿瘤防治中心,钟伟强,https://www.sysucc.org.cn/node/6444,70,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 钟伟强 ,45,25,0,45,START,SYSUCC_CLINICAL_EXPERT,钟伟强,NO,NO,NO_ADJACENT_QUOTE,1856211063093354dca57ca1bf750b76b9536fc0d5469250b425c7659b190a82,a0e43fb52d3a627a518e2dd7e6ba88996e4efc5127336576962381c8dbd55d56
882,881,中山大学肿瘤防治中心,陈东泰,https://www.sysucc.org.cn/node/3834,1800,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 陈东泰 ,45,1755,0,45,START,SYSUCC_CLINICAL_EXPERT,陈东泰,NO,NO,NO_ADJACENT_QUOTE,847c371b6ea7e4afff332643f501f0ec8b1fb79a33882daf114eda18205d0e88,43bc9e5fe6ab61a5c31ceb9fe53191048ed7b2ee6bec90df3e67c188e5d55e80
883,882,中山大学肿瘤防治中心,黄婉,https://www.sysucc.org.cn/node/3824,1800,临床专家 面包屑 首页 / 临床科室 / 平台科室 / 手术麻醉科 / 临床专家 黄婉 ,44,1756,0,44,START,SYSUCC_CLINICAL_EXPERT,黄婉,NO,NO,NO_ADJACENT_QUOTE,3b3aeccb1ee7bb46d52f3e862efdc894afec564191532c55b1bb8b228165fa18,04bcf23dca02b31f8dd0e4a2b707c41a67f8fe4de05b931d44097871713527ce
884,883,中山大学肿瘤防治中心,miRNA-...,https://www.sysucc.org.cn/node/1683,1800,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 曹新平 ,43,1757,0,43,START,SYSUCC_CLINICAL_EXPERT,曹新平,YES,NO,NO_ADJACENT_QUOTE,36510ddd9979a5cbfc43b2f2a42bccbe588b70bc62c2124eabcf58325238658b,1e7116855523cc7c76c39d31394a00a985e2235df51ed76803b69e9df003db95
885,884,中山大学肿瘤防治中心,习勉,https://www.sysucc.org.cn/node/1681,1800,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 习勉 ,42,1758,0,42,START,SYSUCC_CLINICAL_EXPERT,习勉,NO,NO,NO_ADJACENT_QUOTE,c62108ce2228ce33f2c8d967065530936b26c3bf9912f422b5a7ef162379f84c,efabbe2e6670fb8a8a20f24456ec69fadad564d12d9a4fe9e135276cf12624c9
886,885,中山大学肿瘤防治中心,何振宇,https://www.sysucc.org.cn/node/1665,387,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 何振宇 ,43,344,0,43,START,SYSUCC_CLINICAL_EXPERT,何振宇,NO,NO,NO_ADJACENT_QUOTE,950a93b34650ae7cc3d82dc7c9ece7a5b32031adafa47d922c11868ff181661b,e45bb9371af5011fb92fe9b4131c25e6509de5939fb8f4e8c4ffb8dc3effdd20
887,886,中山大学肿瘤防治中心,何立儒,https://www.sysucc.org.cn/node/1678,1800,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 何立儒 ,43,1757,0,43,START,SYSUCC_CLINICAL_EXPERT,何立儒,NO,NO,NO_ADJACENT_QUOTE,a3863db15c67ca87f7492df5a34b80e220970564ff8c9b90830a6346e7da73b9,96418eddafb6b7857f8d0fe6ae30230b8d130453fa6bab28f480df26987fdb2d
888,887,中山大学肿瘤防治中心,刘孟忠,https://www.sysucc.org.cn/node/1662,1800,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 刘孟忠 ,43,1757,0,43,START,SYSUCC_CLINICAL_EXPERT,刘孟忠,NO,NO,NO_ADJACENT_QUOTE,ef103e73cc7f268c648c104b472df1a989fe1ec4681b29579b5de1c9cb93531c,e21d8403a7f19b164b2b3a14111e20737ddee2539d4ce2ca5ff9ff1c3d4edb5a
889,888,中山大学肿瘤防治中心,刘慧,https://www.sysucc.org.cn/node/1658,648,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 刘慧(小) ,45,603,0,45,START,SYSUCC_CLINICAL_EXPERT,刘慧(小),YES,NO,NO_ADJACENT_QUOTE,74741f8331c8d664b33d43d0fc45f9868f94ff45472a008883a756bd1ed25f3b,6832f42d0f1a69d5981443ccfbd3cce07781edc77f1754bf92dbd6c68a6aab93
890,889,中山大学肿瘤防治中心,刘方杰,https://www.sysucc.org.cn/node/8257,226,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 刘方杰 ,43,183,0,43,START,SYSUCC_CLINICAL_EXPERT,刘方杰,NO,NO,NO_ADJACENT_QUOTE,fc1f3a7a7555900279af4162ef15a73a91709ccd2d16666a80377b14a041e243,78c3bdfb9a228554714230892173855c8ce61e7ba7e82b452db6fb456320a18a
891,890,中山大学肿瘤防治中心,刘施亮,https://www.sysucc.org.cn/node/1713,1321,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 刘施亮 ,43,1278,0,43,START,SYSUCC_CLINICAL_EXPERT,刘施亮,NO,NO,NO_ADJACENT_QUOTE,e3db3d2d5ec66e1445c32427563bab6e3c2ea8dc5e87fb7fe87e16bc724e3bb2,e46283dd7bbe4baaec3d032ec78f2fbcecd9b81c1479bf96829a558c58d16823
892,891,中山大学肿瘤防治中心,刘洋,https://www.sysucc.org.cn/node/1723,473,临床专家 面包屑 首页 / 临床科室 / 放疗系列 / 放疗科 / 临床专家 刘洋 ,42,431,0,42,START,SYSUCC_CLINICAL_EXPERT,刘洋,NO,NO,NO_ADJACENT_QUOTE,7a3536b04a0c2e9c6e6e01df7ac754df7f9d03e3b2312d343cf3dcf8a0682cae,561e510ffa6c7bcb52fac89b418fad45fce88597bb2fd73f86aa4a5754ce3838
